iso3,name,iso_num,region,subregion,lat,lon
CZE,Czechia,203,Europe,Eastern Europe,49.74917370930982,15.383273292023532
DNK,Denmark,208,Europe,Northern Europe,56.00118817971057,9.378670542409406
DJI,Djibouti,262,Africa,Sub-Saharan Africa,11.750235727618804,42.61349689878951
DMA,Dominica,212,Americas,Latin America and the Caribbean,15.429269860940511,-61.360471946942994
DOM,Dominican Republic,214,Americas,Latin America and the Caribbean,18.77954818522993,-70.43495198520012
ECU,Ecuador,218,Americas,Latin America and the Caribbean,-1.5642721388853116,-78.4630326109714
EGY,Egypt,818,Africa,Northern Africa,26.60517034450628,30.240135435012338
SLV,El Salvador,222,Americas,Latin America and the Caribbean,13.758041517055418,-88.85911489238985
GNQ,Equatorial Guinea,226,Africa,Sub-Saharan Africa,1.595464393659073,10.425456672353825
ERI,Eritrea,232,Africa,Sub-Saharan Africa,15.005533147667684,39.2672401449901
EST,Estonia,233,Europe,Northern Europe,58.64810831123104,25.916870250633806
SWZ,Eswatini,748,Africa,Sub-Saharan Africa,-26.562540935608705,31.510685746082007
ETH,Ethiopia,231,Africa,Sub-Saharan Africa,8.729389557048396,39.91490288654428
FLK,Falkland Islands,238,Americas,Latin America and the Caribbean,-51.75901312766726,-58.746646363799854
FRO,Faroe Islands,234,Europe,Northern Europe,62.13089628149535,-6.981106091312284
FJI,Fiji,242,Oceania,Melanesia,-17.822470952336204,177.98144613732626
FIN,Finland,246,Europe,Northern Europe,65.01578959749911,25.65738433454702
FRA,France,250,Europe,Western Europe,46.6423682169416,2.1940236627886227
